error,suggestion
"ls: cannot access 'data/input/Discovery/ls': No such file or directory
ls: cannot access '–l': No such file or directory",ls
ls: cannot access 'gunings': No such file or directory,cd
ls: cannot access 'gunings/RNA_SEQ_SAMPLES': No such file or directory,ls
ls: cannot access 'home': No such file or directory,ls
ls: cannot access 'renamed_misc_child': No such file or directory,cd
ls: cannot access 'shortcut_misc_child': No such file or directory,cd
ls: cannot access 'stderr.txtls': No such file or directory,ls
ls: cannot access 'stdout.txt': No such file or directory,ls
"ls: cannot access '–': No such file or directory
ls: cannot access 'l': No such file or directory",ls
ls: cannot access '–a': No such file or directory,ls
ls: cannot access '–l': No such file or directory,ls
"ls: cannot access '–l': No such file or directory
ls: cannot access '/home/jovyan/*.err': No such file or directory",ls
"ls: cannot access '–l': No such file or directory
ls: cannot access '/home/jovyan/*.log': No such file or directory",ls
"ls: invalid option -- '.'
Try 'ls --help' for more information.",cd
mkdir: cannot create directory ‘bin’: Permission denied,ls
mkdir: cannot create directory ‘misc’: Permission denied,ls
mkdir: cannot create directory ‘mschild’: Permission denied,ls
touch: cannot touch '/home/jovyan/data-store/data/input/Discovery/TSVFiles/A_1_abundance.tsv': Permission denied,ls
