error,correct_response,graph_prediction,graph_accuracy,chatgpt_prediction,chatgpt_section,chatgpt_accuracy
cat: linked_hello.txt: No such file or directory,ls,ls,1,ln,Linking files,0
cat: misc_child: Is a directory,cat,cat,1,ln,Linking files,0
cp: -r not specified; omitting directory '/home/jovyan/data-store/data/output/misc',cp,cp,1,ln -s,Linking files,0
cp: -r not specified; omitting directory '/home/jovyan/data-store/data/output/misc/',cd,cd,1,rm,Linking files,0
cp: target 'goodbye.txt' is not a directory,ls,ls,1,cat,(cat) displaying files,0
ln: failed to create symbolic link '/home/jovyan/data-store/data/input/Discovery/TSVFiles/A_1_abundance.tsv': File exists,ls,ls,1,pwd,pwd (working directory),0
ln: failed to create symbolic link '/home/jovyan/data-store/data/input/Discovery/TSVFiles/A_1_abundance.tsv': Input/output error,ln,ln,1,cp,"Copying moving, linking directories",0
ln: failed to create symbolic link 'hello.txt': File exists,pwd,pwd,1,cp,"Copying moving, linking directories",0
ln: failed to create symbolic link 'linked_hello.txt': Input/output error,pwd,pwd,1,ls,Linking files,0
ln: target '_hello.txt' is not a directory,ln,ln,1,cd,ls command,0
ln: target 'linked_hello.txt' is not a directory,ln,ln,1,cp -R misc_child_another_child copied_misc_child,"""Copying moving, linking directories""",0
ln: target 'linked_misc_child' is not a directory,ln,ln,1,ls,Moving/renaming files,0
ls: cannot access '-': No such file or directory,ls,ls,1,cd ..,ls command,0
"ls: cannot access '-': No such file or directory
ls: cannot access 'l': No such file or directory",ls,ls,1,ls,Change to child and parent directory,1
ls: cannot access '..jovyan': No such file or directory,ls,ls,1,cd,Change to child and parent directory,0
ls: cannot access './data/input/RNA_SEQ_SAMPLES': No such file or directory,ls,ls,1,touch,Linking files,0
ls: cannot access '/gunings/RNA_SEQ_SAMPLES': No such file or directory,ls,ls,1,cat,Linking files,0
ls: cannot access '/home/jovyan/RNA_SEQ_SAMPLES': No such file or directory,ls,ls,1,ls,(cat) displaying files,1
ls: cannot access '/home/jovyan/data-store/data/input/Discover': No such file or directory,ls,ls,1,ls,(cat) displaying files,1
ls: cannot access 'A_1_abundance.tsv': No such file or directory,ln,ln,1,,"""(cat) displaying files""",0
ls: cannot access 'Discovery': No such file or directory,ls,ls,1,cd,(cat) displaying files,0
ls: cannot access 'Statparam': No such file or directory,cd,cd,1,[ln] -s original.txt linked_hello.txt,Linking files,0
ls: cannot access 'Stderr.txt': No such file or directory,ls,ls,1,chmod,Linking discovery TSV files in Bash,0
ls: cannot access 'Stdout.txt': No such file or directory,clear,clear,1,Sudo,Linking discovery TSV files in Bash,0
ls: cannot access 'aa': No such file or directory,ls,ls,1,ls,ls command,1
ls: cannot access 'copied_misc_child': No such file or directory,ls,ls,1,ls,ls command,1
ls: cannot access 'd^t': No such file or directory,ls,ls,1,ls,Change to child and parent directory,1
ls: cannot access 'data-store/data/input/D': No such file or directory,ls,ls,1,ls,Change to child and parent directory,1
ls: cannot access 'data-store/data/input/D^t': No such file or directory,ls,ls,1,echo,Echo,0
ls: cannot access 'data-store/data/input/D^t^t': No such file or directory,ls,ls,1,ls,Standard input/output,1
ls: cannot access 'data-store/data/input/Discov': No such file or directory,ls,ls,1,rm,"""Linking files""",0
"ls: cannot access 'data/input/Discovery/ls': No such file or directory
ls: cannot access '–l': No such file or directory",ls,ls,1,ln,Linking files,0
ls: cannot access 'gunings': No such file or directory,cd,cd,1,ls,ls command,0
ls: cannot access 'gunings/RNA_SEQ_SAMPLES': No such file or directory,ls,ls,1,cp -r ~/data-store/data/output/misc ~/misc,Creating directories,0
ls: cannot access 'home': No such file or directory,ls,ls,1,ls,ls command,1
ls: cannot access 'renamed_misc_child': No such file or directory,cd,cd,1,ls,Change to arbitrary and home directory,0
ls: cannot access 'shortcut_misc_child': No such file or directory,cd,cd,1,cd,Change to child and parent directory,1
ls: cannot access 'stderr.txtls': No such file or directory,ls,ls,1,sudo mkdir misc,Creating directories,0
ls: cannot access 'stdout.txt': No such file or directory,ls,ls,1,mkdir,Creating directories,0
"ls: cannot access '–': No such file or directory
ls: cannot access 'l': No such file or directory",ls,ls,1,ls,pwd (working directory),1
ls: cannot access '–a': No such file or directory,ls,ls,1,cd,ls command,0
ls: cannot access '–l': No such file or directory,ls,ls,1,,ls command,0
"ls: cannot access '–l': No such file or directory
ls: cannot access '/home/jovyan/*.err': No such file or directory",ls,ls,1,ls,ls command,1
"ls: cannot access '–l': No such file or directory
ls: cannot access '/home/jovyan/*.log': No such file or directory",ls,ls,1,ls,ls command,1
"ls: invalid option -- '.'
Try 'ls --help' for more information.",cd,cd,1,ls,Change to arbitrary and home directory,0
mkdir: cannot create directory ‘bin’: Permission denied,ls,ls,1,ls,(cat) displaying files,1
mkdir: cannot create directory ‘misc’: Permission denied,ls,ls,1,ls,ls command,1
mkdir: cannot create directory ‘mschild’: Permission denied,ls,ls,1,ls,ls command,1
touch: cannot touch '/home/jovyan/data-store/data/input/Discovery/TSVFiles/A_1_abundance.tsv': Permission denied,ls,ls,1,ls -l *.txt,ls command,0
